Timestamp,CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Memory usage [%],Disk read throughput [KB/s],Disk write throughput [KB/s],Disk size [GB],Network received throughput [KB/s],Network transmitted throughput [KB/s],cores
04.01.2016 21:45:00,2,0,123,"2,69",4194304,553229,"13,19",0,14,54,11,36,2
04.01.2016 21:50:00,2,0,121,"2,65",4194304,326736,"7,79",0,11,54,1,1,2
04.01.2016 21:55:00,2,0,115,"2,5",4194304,410622,"9,79",0,14,54,1,1,2
04.01.2016 22:00:00,2,0,116,"2,53",4194304,119538,"2,85",0,13,54,1,1,2
04.01.2016 22:05:00,2,0,116,"2,54",4194304,97308,"2,32",0,13,54,1,1,2
04.01.2016 22:10:00,2,0,116,"2,55",4194304,139251,"3,32",0,12,54,1,1,2
04.01.2016 22:15:00,2,0,122,"2,68",4194304,335125,"7,99",0,15,54,91,40,2
04.01.2016 22:20:00,2,0,115,"2,51",4194304,220201,"5,25",0,12,54,1,1,2
04.01.2016 22:25:00,2,0,115,"2,51",4194304,189583,"4,52",0,14,54,1,1,2
04.01.2016 22:30:00,2,0,116,"2,54",4194304,91855,"2,19",0,12,54,1,1,2
04.01.2016 22:35:00,2,0,115,"2,51",4194304,100244,"2,39",0,13,54,1,1,2
04.01.2016 22:40:00,2,0,118,"2,59",4194304,253755,"6,05",0,14,54,23,7,2
